gvkey,conm,datadate,fyear,revt,rect,ppegt,epspi,ni,at,oancf,sic,rdq
1259,TAMIR BIOTHECHNOLOGY INC,10804,1989.000000,0.000000,0.046000,0.726000,-0.610000,-3.065000,0.577000,-1.946000,2836,0
1259,TAMIR BIOTHECHNOLOGY INC,11169,1990.000000,0.000000,0.167000,0.739000,-0.940000,-5.079000,1.533000,-1.466000,2836,0
1259,TAMIR BIOTHECHNOLOGY INC,13361,1996.000000,0.000000,0.112000,0.816000,-0.250000,-2.942000,8.488000,-3.405000,2836,0
1602,AMGEN INC,10682,1988.000000,70.198997,15.005000,116.294000,-0.490000,-8.161000,207.085010,-5.850000,2836,08may1989
1602,AMGEN INC,11047,1989.000000,190.383000,61.582001,153.856990,1.110000,19.118999,308.052000,18.694000,2836,01may1990
1602,AMGEN INC,11412,1990.000000,381.245000,92.656998,218.108000,0.780000,34.339001,514.026000,21.922001,2836,18jul1991
1602,AMGEN INC,11687,1991.000000,682.043030,88.191002,309.812010,0.670000,97.851997,865.531010,227.517000,2836,03feb1992
1602,AMGEN INC,12053,1992.000000,1093.041000,156.043000,522.187010,2.430000,357.600010,1374.330000,295.872990,2836,04feb1993
1602,AMGEN INC,12418,1993.000000,1373.842000,164.337010,730.661010,2.670000,383.312990,1765.522900,433.679990,2836,01feb1994
1602,AMGEN INC,12783,1994.000000,1647.904100,194.712010,873.374020,2.290000,319.665010,1994.147000,531.890010,2836,02feb1995
1602,AMGEN INC,13148,1995.000000,1939.900000,199.300000,1033.400000,1.920000,537.700010,2432.800000,773.200010,2836,31jan1996
1602,AMGEN INC,13514,1996.000000,2239.800000,225.399990,1301.200000,2.420000,679.799990,2765.600100,822.599980,2836,23jan1997
1602,AMGEN INC,13879,1997.000000,2401.000000,269.000000,1669.200000,2.440000,644.299990,3110.200000,902.900020,2836,22jan1998
1602,AMGEN INC,14244,1998.000000,2718.200000,319.899990,2051.899900,3.390000,863.200010,3672.200000,1041.500000,2836,28jan1999
1602,AMGEN INC,14609,1999.000000,3340.100100,412.200010,2315.200000,1.070000,1096.400000,4077.600100,1075.300000,2836,25jan2000
